Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status,Name JA (product.metafields.propose.name_ja),Short description (product.metafields.propose.short_description),Requires hotel (product.metafields.propose.requires_hotel),Requires photo (product.metafields.propose.requires_photo)
propose-plan-hawaii,ハワイ プロポーズプラン（HAWAII）,<p>ハワイでのプロポーズプラン。</p><ul><li>ライトプラン：花束のみ</li><li>スタンダードプラン：花束＋写真撮影</li><li>ラグジュアリープラン：花束＋写真撮影＋動画撮影＋デコレーション</li></ul>,世界のプロポーズプラン,プロポーズプラン,propose-plan,TRUE,プラン,Light,propose-plan-hawaii-light,,continue,manual,51000,FALSE,TRUE,active,,,,
propose-plan-hawaii,,,,,,,,Standard,propose-plan-hawaii-standard,,continue,manual,128000,FALSE,TRUE,,,,,
propose-plan-hawaii,,,,,,,,Luxury,propose-plan-hawaii-luxury,,continue,manual,228000,FALSE,TRUE,,,,,
propose-plan-miyakojima,宮古島 プロポーズプラン（MIYAKOJIMA）,<p>宮古島でのプロポーズプラン。</p><ul><li>ライトプラン：花束のみ</li><li>スタンダードプラン：花束＋写真撮影</li><li>ラグジュアリープラン：花束＋写真撮影＋動画撮影＋デコレーション</li></ul>,世界のプロポーズプラン,プロポーズプラン,propose-plan,TRUE,プラン,Light,propose-plan-miyakojima-light,,continue,manual,43000,FALSE,TRUE,active,,,,
propose-plan-miyakojima,,,,,,,,Standard,propose-plan-miyakojima-standard,,continue,manual,108000,FALSE,TRUE,,,,,
propose-plan-miyakojima,,,,,,,,Luxury,propose-plan-miyakojima-luxury,,continue,manual,208000,FALSE,TRUE,,,,,
propose-plan-okinawa,沖縄本島 プロポーズプラン（OKINAWA）,<p>沖縄本島でのプロポーズプラン。</p><ul><li>ライトプラン：花束のみ</li><li>スタンダードプラン：花束＋写真撮影</li><li>ラグジュアリープラン：花束＋写真撮影＋動画撮影＋デコレーション</li></ul>,世界のプロポーズプラン,プロポーズプラン,propose-plan,TRUE,プラン,Light,propose-plan-okinawa-light,,continue,manual,43000,FALSE,TRUE,active,,,,
propose-plan-okinawa,,,,,,,,Standard,propose-plan-okinawa-standard,,continue,manual,108000,FALSE,TRUE,,,,,
propose-plan-okinawa,,,,,,,,Luxury,propose-plan-okinawa-luxury,,continue,manual,208000,FALSE,TRUE,,,,,
propose-plan-santorini,サントリーニ島 プロポーズプラン（SANTORINI）,<p>サントリーニ島でのプロポーズプラン。</p><ul><li>ライトプラン：花束のみ</li><li>スタンダードプラン：花束＋写真撮影</li><li>ラグジュアリープラン：花束＋写真撮影＋動画撮影＋デコレーション</li></ul>,世界のプロポーズプラン,プロポーズプラン,propose-plan,TRUE,プラン,Light,propose-plan-santorini-light,,continue,manual,67000,FALSE,TRUE,active,,,,
propose-plan-santorini,,,,,,,,Standard,propose-plan-santorini-standard,,continue,manual,168000,FALSE,TRUE,,,,,
propose-plan-santorini,,,,,,,,Luxury,propose-plan-santorini-luxury,,continue,manual,268000,FALSE,TRUE,,,,,
propose-plan-italy,イタリア プロポーズプラン（ITALY）,<p>イタリアでのプロポーズプラン。</p><ul><li>ライトプラン：花束のみ</li><li>スタンダードプラン：花束＋写真撮影</li><li>ラグジュアリープラン：花束＋写真撮影＋動画撮影＋デコレーション</li></ul>,世界のプロポーズプラン,プロポーズプラン,propose-plan,TRUE,プラン,Light,propose-plan-italy-light,,continue,manual,71000,FALSE,TRUE,active,,,,
propose-plan-italy,,,,,,,,Standard,propose-plan-italy-standard,,continue,manual,178000,FALSE,TRUE,,,,,
propose-plan-italy,,,,,,,,Luxury,propose-plan-italy-luxury,,continue,manual,278000,FALSE,TRUE,,,,,
propose-plan-paris,パリ プロポーズプラン（PARIS）,<p>パリでのプロポーズプラン。</p><ul><li>ライトプラン：花束のみ</li><li>スタンダードプラン：花束＋写真撮影</li><li>ラグジュアリープラン：花束＋写真撮影＋動画撮影＋デコレーション</li></ul>,世界のプロポーズプラン,プロポーズプラン,propose-plan,TRUE,プラン,Light,propose-plan-paris-light,,continue,manual,63000,FALSE,TRUE,active,,,,
propose-plan-paris,,,,,,,,Standard,propose-plan-paris-standard,,continue,manual,158000,FALSE,TRUE,,,,,
propose-plan-paris,,,,,,,,Luxury,propose-plan-paris-luxury,,continue,manual,258000,FALSE,TRUE,,,,,
propose-plan-cappadocia,カッパドキア プロポーズプラン（CAPPADOCIA）,<p>カッパドキアでのプロポーズプラン。</p><ul><li>ライトプラン：花束のみ</li><li>スタンダードプラン：花束＋写真撮影</li><li>ラグジュアリープラン：花束＋写真撮影＋動画撮影＋デコレーション</li></ul>,世界のプロポーズプラン,プロポーズプラン,propose-plan,TRUE,プラン,Light,propose-plan-cappadocia-light,,continue,manual,75000,FALSE,TRUE,active,,,,
propose-plan-cappadocia,,,,,,,,Standard,propose-plan-cappadocia-standard,,continue,manual,188000,FALSE,TRUE,,,,,
propose-plan-cappadocia,,,,,,,,Luxury,propose-plan-cappadocia-luxury,,continue,manual,288000,FALSE,TRUE,,,,,
propose-plan-maldives,モルディブ プロポーズプラン（MALDIVES）,<p>モルディブでのプロポーズプラン。</p><ul><li>ライトプラン：花束のみ</li><li>スタンダードプラン：花束＋写真撮影</li><li>ラグジュアリープラン：花束＋写真撮影＋動画撮影＋デコレーション</li></ul>,世界のプロポーズプラン,プロポーズプラン,propose-plan,TRUE,プラン,Light,propose-plan-maldives-light,,continue,manual,79000,FALSE,TRUE,active,,,,
propose-plan-maldives,,,,,,,,Standard,propose-plan-maldives-standard,,continue,manual,198000,FALSE,TRUE,,,,,
propose-plan-maldives,,,,,,,,Luxury,propose-plan-maldives-luxury,,continue,manual,298000,FALSE,TRUE,,,,,
propose-plan-bali,バリ島 プロポーズプラン（BALI）,<p>バリ島でのプロポーズプラン。</p><ul><li>ライトプラン：花束のみ</li><li>スタンダードプラン：花束＋写真撮影</li><li>ラグジュアリープラン：花束＋写真撮影＋動画撮影＋デコレーション</li></ul>,世界のプロポーズプラン,プロポーズプラン,propose-plan,TRUE,プラン,Light,propose-plan-bali-light,,continue,manual,47000,FALSE,TRUE,active,,,,
propose-plan-bali,,,,,,,,Standard,propose-plan-bali-standard,,continue,manual,118000,FALSE,TRUE,,,,,
propose-plan-bali,,,,,,,,Luxury,propose-plan-bali-luxury,,continue,manual,218000,FALSE,TRUE,,,,,
propose-plan-cancun,カンクン プロポーズプラン（CANCUN）,<p>カンクンでのプロポーズプラン。</p><ul><li>ライトプラン：花束のみ</li><li>スタンダードプラン：花束＋写真撮影</li><li>ラグジュアリープラン：花束＋写真撮影＋動画撮影＋デコレーション</li></ul>,世界のプロポーズプラン,プロポーズプラン,propose-plan,TRUE,プラン,Light,propose-plan-cancun-light,,continue,manual,59000,FALSE,TRUE,active,,,,
propose-plan-cancun,,,,,,,,Standard,propose-plan-cancun-standard,,continue,manual,148000,FALSE,TRUE,,,,,
propose-plan-cancun,,,,,,,,Luxury,propose-plan-cancun-luxury,,continue,manual,248000,FALSE,TRUE,,,,,
propose-plan-ayersrock,エアーズロック プロポーズプラン（AYERS ROCK）,<p>エアーズロックでのプロポーズプラン。</p><ul><li>ライトプラン：花束のみ</li><li>スタンダードプラン：花束＋写真撮影</li><li>ラグジュアリープラン：花束＋写真撮影＋動画撮影＋デコレーション</li></ul>,世界のプロポーズプラン,プロポーズプラン,propose-plan,TRUE,プラン,Light,propose-plan-ayersrock-light,,continue,manual,67000,FALSE,TRUE,active,,,,
propose-plan-ayersrock,,,,,,,,Standard,propose-plan-ayersrock-standard,,continue,manual,168000,FALSE,TRUE,,,,,
propose-plan-ayersrock,,,,,,,,Luxury,propose-plan-ayersrock-luxury,,continue,manual,268000,FALSE,TRUE,,,,,
propose-option-transfer,PRIVATE TRANSFER,<p>ホテルと撮影場所のあいだを専用車で送迎します。</p>,世界のプロポーズプラン,プロポーズオプション,propose-option,TRUE,Title,Default Title,propose-option-transfer,,continue,manual,30000,FALSE,TRUE,active,専用送迎,ホテルと撮影場所のあいだを専用車で送迎します。,TRUE,FALSE
propose-option-extra-photo,EXTRA PHOTO,<p>撮影を30分延長し、記念撮影の時間を増やします。</p>,世界のプロポーズプラン,プロポーズオプション,propose-option,TRUE,Title,Default Title,propose-option-extra-photo,,continue,manual,20000,FALSE,TRUE,active,追加撮影30分,撮影を30分延長し、記念撮影の時間を増やします。,FALSE,TRUE
propose-option-sunset,SUNSET TIME,<p>夕日・朝日など一番きれいな光の時間に合わせて開始時刻を調整します。</p>,世界のプロポーズプラン,プロポーズオプション,propose-option,TRUE,Title,Default Title,propose-option-sunset,,continue,manual,10000,FALSE,TRUE,active,ベストタイム確保,夕日・朝日など一番きれいな光の時間に合わせて開始時刻を調整します。,FALSE,FALSE
